Entrez Gene	ID	C_adj.P.Val	C_P.Value	C_t	C_B	C_logFC	B_adj.P.Val	B_P.Value	B_t	B_B	B_logFC
51166	AADAT	0.403	0.268	1.112868	-5.97823	0.1137621	0.46	0.316	-1.0088487	-6.15189	-0.12842857
22848	AAK1	0.37	0.238	-1.184142	-5.89808	-0.0535922	0.92	0.868	-0.166313	-6.64146	-0.00871429
14	AAMP	0.545	0.408	0.829095	-6.24868	0.0724354	0.991	0.986	-0.0181818	-6.65506	-0.00183851
15	AANAT	0.00107	0.000138	-3.912983	0.60754	-0.4298495	0.0867	0.0341	-2.1521878	-4.41022	-0.31783333
	AARS1	0.591	0.458	-0.744478	-6.31418	-0.0515257	0.308	0.182	1.3461874	-5.76301	0.11680435
57505	AARS2	0.548	0.411	0.823738	-6.25304	0.0579417	0.756	0.642	0.4664783	-6.54712	0.04071429
80755	AARSD1	0.864	0.797	-0.257509	-6.5547	-0.0154578	0.0561	0.0195	-2.3796863	-3.92592	-0.14064803
132949	AASDH	0.523	0.385	0.871546	-6.2132	0.0451553	0.915	0.86	-0.1771707	-6.63961	-0.01080952
60496	AASDHPPT	0.555	0.419	-0.811206	-6.26311	-0.0585329	0.414	0.272	-1.1049462	-6.05212	-0.10038406
10157	AASS	0.483	0.345	-0.946801	-6.14598	-0.1264149	0.467	0.322	-0.9953366	-6.1652	-0.14811698
26574	AATF	0.288	0.169	1.380665	-5.65187	0.0996399	0.0166	0.00415	2.9430085	-2.5474	0.23460248
9625	AATK	0.0867	0.0353	-2.124549	-4.39131	-0.2154905	0.000188	1.57e-05	-4.5691764	2.65518	-0.49507557
18	ABAT	0.00192	0.000286	-3.714942	-0.07143	-0.5388675	5.2e-07	1.13e-08	-6.2965303	9.59588	-1.10773292
19	ABCA1	0.219	0.118	1.573662	-5.37435	0.0943905	0.0934	0.0375	2.1120558	-4.49113	0.17332712
10349	ABCA10	0.0436	0.0147	2.469529	-3.63568	0.257923	0.993	0.989	0.0143443	-6.65512	0.00158385
79963	ABCA11P	0.142	0.0665	1.848451	-4.91895	0.1986192	0.88	0.808	0.2439186	-6.62564	0.02862526
26154	ABCA12	0.0034	0.000585	3.513235	-0.73281	0.2515597	1.05e-05	4.59e-07	5.4429276	6.02985	0.67110041
154664	ABCA13	0.0072	0.0015	3.234947	-1.59369	0.3324147	0.0016	0.000224	3.8476547	0.14697	0.61004141
650655	ABCA17P	0.0171	0.00446	-2.887427	-2.58155	-0.2296693	0.0624	0.0223	-2.3254876	-4.04521	-0.21298758
20	ABCA2	0.665	0.542	-0.611564	-6.40293	-0.0382406	0.95	0.918	-0.103392	-6.6499	-0.00793478
21	ABCA3	0.000105	7.58e-06	-4.638564	3.33144	-0.5624911	5.12e-09	3.87e-11	-7.5366492	15.08626	-1.12730228
24	ABCA4	0.722	0.611	-0.510094	-6.45903	-0.0470171	0.213	0.111	1.6108029	-5.38337	0.17206936
23461	ABCA5	0.0489	0.0169	-2.415467	-3.76104	-0.4174006	0.000257	2.34e-05	-4.4650434	2.27604	-0.8973354
23460	ABCA6	0.0908	0.0374	-2.099971	-4.44109	-0.397096	0.0185	0.00474	-2.8973019	-2.66837	-0.63466977
10347	ABCA7	0.88	0.819	0.229805	-6.56137	0.0289179	0.361	0.226	1.2201677	-5.9209	0.22943685
10351	ABCA8	0.0261	0.00759	-2.706535	-3.05613	-0.5448345	0.00064	7.3e-05	-4.1611921	1.20179	-0.93813458
10350	ABCA9	0.455	0.316	-1.005444	-6.08979	-0.1034743	0.122	0.053	-1.961444	-4.78246	-0.2329472
5243	ABCB1	0.395	0.26	-1.13028	-5.9591	-0.1664299	0.000714	8.29e-05	-4.1262895	1.08159	-0.71031573
23456	ABCB10	0.237	0.13	1.521118	-5.45338	0.087237	0.901	0.84	0.2025014	-6.63483	0.01448344
8647	ABCB11	0.937	0.903	0.122199	-6.58007	0.006221	0.293	0.17	1.3839378	-5.71282	0.09578778
5244	ABCB4	0.000207	1.78e-05	4.433193	2.52427	0.2040785	0.000108	7.86e-06	4.7466915	3.31369	0.24394513
340273	ABCB5	0.0526	0.0186	-2.378515	-3.84526	-0.0907142	0.0117	0.00266	-3.0910682	-2.14499	-0.13029814
10058	ABCB6	0.693	0.576	-0.560932	-6.43219	-0.0507634	0.336	0.205	-1.2774071	-5.85104	-0.14004865
22	ABCB7	0.384	0.25	-1.155005	-5.93144	-0.0636534	0.48	0.333	-0.9727335	-6.18709	-0.07491511
11194	ABCB8	0.21	0.111	1.602132	-5.33043	0.0695669	0.0726	0.0273	2.2445588	-4.2188	0.11486025
23457	ABCB9	0.456	0.318	-1.001465	-6.09371	-0.0380013	0.573	0.428	0.7966487	-6.34068	0.03642754
4363	ABCC1	2.78e-05	1.45e-06	5.018935	4.89703	0.3847803	2.2e-07	3.92e-09	6.5327243	10.61835	0.61554658
89845	ABCC10	0.0316	0.00969	-2.620387	-3.27238	-0.2835002	0.161	0.0762	-1.7940826	-5.08295	-0.230647
85320	ABCC11	0.0483	0.0167	2.421116	-3.74807	0.1081311	0.169	0.0809	1.7653147	-5.1321	0.08230952
94160	ABCC12	0.569	0.434	0.784223	-6.28428	0.0277007	0.527	0.38	-0.8823467	-6.26968	-0.02987164
150000	ABCC13	0.717	0.605	0.518837	-6.4546	0.0193864	0.576	0.431	0.7904669	-6.34552	0.03172464
1244	ABCC2	0.017	0.00441	-2.890799	-2.57244	-0.2670291	0.0561	0.0195	-2.3793489	-3.92667	-0.2892619
8714	ABCC3	0.000817	9.9e-05	4.000325	0.91608	0.9023875	0.947	0.91	0.1133993	-6.64882	0.03586439
10257	ABCC4	0.189	0.0965	1.672368	-5.21886	0.0755471	0.17	0.0821	1.7585766	-5.14351	0.0991853
10057	ABCC5	0.00338	0.00058	3.516082	-0.72369	0.2615772	0.0772	0.0295	2.2129504	-4.28511	0.21182505
105369239	ABCC6	0.0167	0.00433	-2.896926	-2.55587	-0.2548495	5.51e-05	3.45e-06	-4.9532923	4.09846	-0.5472381
368	ABCC6	0.0167	0.00433	-2.896926	-2.55587	-0.2548495	5.51e-05	3.45e-06	-4.9532923	4.09846	-0.5472381
6833	ABCC8	0.129	0.0589	-1.903708	-4.81893	-0.7741313	0.00023	2.02e-05	-4.5037148	2.41621	-2.05262319
10060	ABCC9	0.202	0.105	-1.62876	-5.28868	-0.1706878	0.161	0.0759	-1.7957819	-5.08002	-0.21754244
215	ABCD1	0.0487	0.0168	-2.417537	-3.75629	-0.1427526	0.661	0.526	-0.6360383	-6.45446	-0.0504089
225	ABCD2	0.116	0.0518	1.960726	-4.71278	0.0578936	0.123	0.0534	1.9573417	-4.79012	0.08965114
5825	ABCD3	0.0711	0.0275	2.226384	-4.17927	0.1495948	0.454	0.309	-1.0241754	-6.13657	-0.09102174
5826	ABCD4	0.00683	0.0014	3.25451	-1.53517	0.3916357	0.568	0.423	0.8053199	-6.33382	0.13099586
6059	ABCE1	0.4	0.265	1.118697	-5.97186	0.0805623	0.983	0.971	0.0365897	-6.65455	0.00319772
23	ABCF1	0.0335	0.0104	-2.594144	-3.337	-0.1576575	0.991	0.984	0.0200479	-6.65502	0.00145859
10061	ABCF2	0.269	0.154	-1.431307	-5.58245	-0.0642944	0.726	0.604	0.5210951	-6.52036	0.02808075
55324	ABCF3	0.101	0.0432	-2.039461	-4.56132	-0.0928658	0.744	0.626	-0.4884519	-6.53671	-0.02900932
9619	ABCG1	0.0214	0.00592	2.791942	-2.8355	0.3571575	0.0502	0.0169	2.4341968	-3.80351	0.43663665
9429	ABCG2	0.329	0.203	-1.278813	-5.78408	-0.1496313	0.0991	0.0405	-2.0793372	-4.55608	-0.29357557
64137	ABCG4	0.748	0.642	0.466254	-6.48014	0.0315483	0.0793	0.0304	2.1994185	-4.31324	0.16590062
64240	ABCG5	0.99	0.984	0.019632	-6.58726	0.0030785	0.224	0.119	-1.5759818	-5.43701	-0.29398344
64241	ABCG8	0.479	0.341	-0.956104	-6.13729	-0.0224956	0.798	0.698	-0.3898865	-6.57967	-0.01124638
84696	ABHD1	0.133	0.0614	-1.884534	-4.85395	-0.1019916	0.766	0.655	-0.4486997	-6.55519	-0.03938199
55347	ABHD10	0.659	0.535	0.621598	-6.39684	0.0358449	0.268	0.15	-1.4504796	-5.62111	-0.0985911
83451	ABHD11	0.0336	0.0105	2.592195	-3.34177	0.2476138	0.2	0.102	1.6529147	-5.31703	0.18768427
26090	ABHD12	0.154	0.0739	-1.799684	-5.00489	-0.1843839	0.0569	0.0198	-2.3725214	-3.94183	-0.30891304
145447	ABHD12B	0.527	0.389	0.864137	-6.21951	0.0241853	0.353	0.219	1.2389317	-5.89834	0.04827847
84945	ABHD13	0.00131	0.000176	3.848168	0.38215	0.2509008	0.246	0.134	1.5124484	-5.53202	0.12093478
25864	ABHD14A	0.000549	6.07e-05	-4.1274	1.37471	-0.3840196	2.2e-07	3.95e-09	-6.5306524	10.60933	-0.764147
84836	ABHD14B	0.00942	0.00209	-3.131103	-1.89919	-0.206347	0.00169	0.000239	-3.8286976	0.08505	-0.27578364
11057	ABHD2	0.00102	0.00013	3.929226	0.6645	0.3342856	0.279	0.158	1.4223924	-5.66032	0.13105487
171586	ABHD3	0.000139	1.08e-05	4.555325	3.00097	0.6289686	0.224	0.118	1.5769351	-5.43555	0.25852588
63874	ABHD4	9.27e-05	6.46e-06	-4.676468	3.4834	-0.3720329	0.0696	0.0257	-2.2681182	-4.16883	-0.25890787
51099	ABHD5	0.0426	0.0142	-2.481233	-3.6082	-0.2106636	0.905	0.846	0.1943362	-6.63644	0.02238613
57406	ABHD6	0.998	0.997	-0.004333	-6.58744	-0.0004373	0.0721	0.027	-2.2485653	-4.21033	-0.3045559
	ABHD7	2.2e-06	6.27e-08	5.696526	7.89511	0.7131488	1.51e-09	7.71e-12	7.8803151	16.64851	0.93441925
79575	ABHD8	0.0116	0.00273	-3.047304	-2.13935	-0.1616743	0.139	0.0629	-1.8832675	-4.92589	-0.136706
	ABHD9	0.0668	0.0253	-2.259397	-4.10853	-0.3225825	0.581	0.437	-0.7813003	-6.35264	-0.14819048
10006	ABI1	0.000104	7.44e-06	4.642967	3.34905	0.3631431	0.00119	0.000156	3.9503243	0.48609	0.37954555
10152	ABI2	0.242	0.133	1.50894	-5.47133	0.0925407	0.149	0.069	1.8404167	-5.00223	0.13418012
51225	ABI3	0.679	0.559	-0.585332	-6.4184	-0.0658147	0.46	0.316	-1.0090785	-6.15166	-0.1378882
25890	ABI3BP	0.614	0.482	-0.704514	-6.34268	-0.0760304	0.00585	0.00111	-3.370093	-1.34415	-0.41942961
25	ABL1	0.0515	0.0181	-2.389658	-3.81999	-0.1021387	0.368	0.231	-1.2058297	-5.93791	-0.06714907
27	ABL2	0.661	0.537	0.618606	-6.39866	0.0569084	0.0514	0.0174	2.4231816	-3.82844	0.30939337
3983	ABLIM1	0.243	0.135	1.504554	-5.47776	0.1821351	0.245	0.133	-1.5146065	-5.52885	-0.21189752
84448	ABLIM2	0.895	0.841	-0.200975	-6.5675	-0.0254109	0.763	0.651	-0.4541893	-6.55273	-0.08465735
22885	ABLIM3	0.0179	0.00472	2.86832	-2.63298	0.3168746	4.41e-05	2.65e-06	5.0187151	4.35088	0.66413561
28	ABO	0.403	0.267	1.113357	-5.9777	0.0730732	0.426	0.282	1.0817552	-6.07701	0.08653209
	ABP1	3.07e-06	9.4e-08	5.611883	7.50693	0.8490623	0.0161	0.004	2.9553939	-2.51436	0.47798344
29	ABR	0.0515	0.0181	2.388891	-3.82174	0.2911199	0.452	0.307	1.0266201	-6.1341	0.15087578
137735	ABRA	0.716	0.603	-0.520604	-6.45369	-0.0654719	0.513	0.366	-0.9089613	-6.24618	-0.12199689
29777	ABT1	0.134	0.0619	1.881408	-4.85963	0.1386406	0.308	0.182	1.3458734	-5.76342	0.12673395
80325	ABTB1	0.161	0.0789	-1.769047	-5.05775	-0.1240958	0.643	0.507	-0.6665162	-6.43481	-0.05797516
25841	ABTB2	0.00317	0.000536	3.538727	-0.65093	0.401401	0.0375	0.0117	2.5756309	-3.4747	0.32191511
30	ACAA1	0.578	0.444	-0.768233	-6.2965	-0.0561992	0.0398	0.0126	-2.5477344	-3.54082	-0.26628986
10449	ACAA2	0.919	0.876	-0.155726	-6.57547	-0.0188117	0.0378	0.0118	-2.5720092	-3.48332	-0.38635404
31	ACACA	0.0958	0.0402	2.06968	-4.50169	0.086745	0.17	0.0815	1.7618245	-5.13801	0.08928364
32	ACACB	0.0021	0.000319	-3.685128	-0.17112	-0.2794242	0.000603	6.8e-05	-4.1802007	1.26754	-0.42001346
80724	ACAD10	0.0852	0.0345	-2.134087	-4.37184	-0.1008442	0.137	0.0617	-1.8924395	-4.90934	-0.1069441
84129	ACAD11	0.847	0.773	0.289346	-6.5461	0.0355564	0.596	0.454	-0.7517753	-6.375	-0.10182298
27034	ACAD8	0.937	0.903	0.122146	-6.58008	0.0078696	0.189	0.0942	-1.6919549	-5.25409	-0.14143996
28976	ACAD9	0.000846	0.000103	-3.989451	0.87737	-0.270981	0.0338	0.0102	-2.626491	-3.35256	-0.22957971
33	ACADL	0.0024	0.000377	-3.63859	-0.32541	-0.6151691	0.00086	0.000104	-4.0633074	0.86641	-0.80972153
34	ACADM	0.497	0.359	-0.920718	-6.1699	-0.1043628	0.0151	0.00368	-2.9832283	-2.43968	-0.42868944
35	ACADS	0.533	0.395	-0.852486	-6.22935	-0.0672142	0.0311	0.00914	-2.6652149	-3.25819	-0.25234576
36	ACADSB	0.687	0.568	0.571743	-6.42615	0.0482923	0.584	0.441	-0.7740662	-6.3582	-0.08936025
37	ACADVL	0.000991	0.000125	-3.938717	0.69788	-0.4179299	0.00197	0.000288	-3.7751225	-0.08878	-0.47193478
176	ACAN	0.943	0.914	-0.108454	-6.58164	-0.0197727	0.808	0.711	-0.3717155	-6.58655	-0.08351656
9744	ACAP1	0.00367	0.000642	-3.486812	-0.81714	-0.1750967	0.0556	0.0192	-2.3842125	-3.91585	-0.19008696
23527	ACAP2	0.00622	0.00125	3.290087	-1.42796	0.2241657	0.072	0.027	2.2491554	-4.20908	0.19858385
116983	ACAP3	0.00941	0.00209	-3.13165	-1.8976	-0.1170093	0.174	0.0848	-1.7427556	-5.17013	-0.08127743
38	ACAT1	5.46e-05	3.38e-06	-4.827257	4.09691	-0.5770498	2.32e-05	1.21e-06	-5.2113543	5.10453	-0.7616677
39	ACAT2	0.0675	0.0257	2.253103	-4.12209	0.2389802	0.893	0.828	0.2174912	-6.6317	0.03049172
64746	ACBD3	0.0028	0.000459	3.582464	-0.5093	0.2748018	0.0111	0.00248	3.1144835	-2.07989	0.30580228
79777	ACBD4	0.000106	7.69e-06	-4.635177	3.3179	-0.5934358	2.16e-06	6.56e-08	-5.8972342	7.90015	-0.88395549
91452	ACBD5	0.000516	5.6e-05	4.147807	1.44942	0.2789726	0.234	0.126	1.546642	-5.48134	0.13977122
100527964	ACBD6	0.000315	2.99e-05	4.305716	2.03729	0.2765509	0.000512	5.54e-05	4.2361928	1.46236	0.35923602
84320	ACBD6	0.000315	2.99e-05	4.305716	2.03729	0.2765509	0.000512	5.54e-05	4.2361928	1.46236	0.35923602
414149	ACBD7	0.476	0.338	-0.961344	-6.13235	-0.1375253	0.66	0.526	-0.6369515	-6.45388	-0.15099689
	ACCN1	0.479	0.341	-0.955737	-6.13763	-0.130874	0.682	0.552	-0.5965976	-6.47854	-0.10545652
	ACCN2	0.335	0.208	1.264988	-5.80126	0.1433278	0.294	0.17	1.3828626	-5.71426	0.19276398
	ACCN3	0.656	0.532	-0.627095	-6.39345	-0.0230819	0.589	0.447	-0.7639276	-6.3659	-0.03055901
	ACCN4	0.21	0.111	-1.603561	-5.32821	-0.0782172	0.39	0.25	-1.1568774	-5.99454	-0.06878468
	ACCN5	0.52	0.381	-0.878243	-6.20744	-0.0494175	0.508	0.361	-0.918795	-6.23732	-0.05335714
84680	ACCS	0.766	0.665	0.433575	-6.49465	0.0411355	0.799	0.699	0.3880394	-6.58039	0.04730124
65057	ACD	0.073	0.0284	-2.213346	-4.20693	-0.1145249	0.868	0.79	0.2675502	-6.61963	0.01755901
1636	ACE	0.0828	0.0332	-2.149485	-4.34025	-0.0898539	0.345	0.212	-1.2566965	-5.87667	-0.06425362
59272	ACE2	0.868	0.803	-0.249697	-6.55666	-0.0642923	0.000291	2.73e-05	-4.4252651	2.13265	-1.20580642
125981	ACER1	0.00303	0.000508	-3.554029	-0.60155	-0.3328322	0.0207	0.00544	-2.8498937	-2.79218	-0.36949379
55331	ACER3	1.25e-05	5.27e-07	5.243365	5.8616	0.3483786	0.00198	0.000291	3.7721177	-0.09847	0.30614286
43	ACHE	0.000398	4.03e-05	-4.231341	1.75827	-0.5948062	0.00445	0.000794	-3.4742433	-1.03154	-0.60584161
22985	ACIN1	0.211	0.111	-1.601125	-5.332	-0.2307528	0.129	0.0569	-1.9288187	-4.84297	-0.34481781
47	ACLY	0.416	0.28	1.083861	-6.00945	0.068138	0.942	0.902	-0.1233147	-6.64766	-0.0097205
130013	ACMSD	0.29	0.171	1.376462	-5.65752	0.2013723	0.0519	0.0176	-2.4179599	-3.84023	-0.30060041
	ACN9	0.947	0.92	-0.100638	-6.58245	-0.010596	0.0853	0.0334	-2.1607809	-4.39272	-0.2684793
48	ACO1	0.0026	0.000416	-3.610661	-0.41721	-0.2631461	8.71e-06	3.64e-07	-5.4980258	6.25294	-0.50069876
50	ACO2	0.324	0.199	-1.290821	-5.769	-0.0850648	0.523	0.375	-0.8912888	-6.26186	-0.07167598
641371	ACOT1	0.184	0.0936	1.687263	-5.19461	0.1633012	0.951	0.92	-0.1013417	-6.65011	-0.01275776
26027	ACOT11	6.82e-05	4.45e-06	4.763376	3.83526	0.355969	0.0153	0.00374	2.9776721	-2.45463	0.27903416
134526	ACOT12	0.759	0.656	-0.44662	-6.48898	-0.0475285	0.785	0.679	-0.4150431	-6.56962	-0.05663043
10965	ACOT2	0.237	0.13	1.52267	-5.45109	0.1251157	0.916	0.862	0.1743011	-6.64011	0.01791201
122970	ACOT4	0.000137	1.06e-05	4.558633	3.01402	0.4465627	0.000176	1.46e-05	4.5884614	2.72599	0.561206
11332	ACOT7	0.00796	0.0017	3.196755	-1.70705	0.3322229	0.000722	8.43e-05	4.1216689	1.06572	0.45656315
10005	ACOT8	0.901	0.85	-0.189471	-6.56972	-0.0120011	0.219	0.115	-1.5931515	-5.4107	-0.11373499
23597	ACOT9	0.000344	3.36e-05	4.276564	1.92748	0.3347754	9.93e-07	2.53e-08	6.1144553	8.81719	0.55768944
51	ACOX1	0.553	0.417	-0.813854	-6.261	-0.0569694	0.0119	0.00275	-3.080798	-2.17342	-0.24823292
8309	ACOX2	0.0825	0.0331	-2.151316	-4.33648	-0.2947153	0.00263	0.000418	-3.6664358	-0.43597	-0.63303313
8310	ACOX3	0.504	0.365	-0.907724	-6.18157	-0.064641	0.302	0.177	-1.3596833	-5.74522	-0.13809938
55289	ACOXL	0.739	0.632	-0.480264	-6.4736	-0.0306144	0.792	0.689	0.4018342	-6.57498	0.0372795
52	ACP1	0.063	0.0235	-2.28802	-4.04642	-0.1373681	1.86e-05	9.34e-07	-5.2732009	5.34965	-0.32619772
53	ACP2	0.263	0.15	-1.446929	-5.56055	-0.0881942	0.79	0.686	0.4057791	-6.57339	0.03292857
54	ACP5	0.00171	0.000248	3.754156	0.06071	0.7912951	9.06e-05	6.29e-06	4.8033546	3.52701	1.26621739
51205	ACP6	0.000349	3.43e-05	4.271392	1.90805	0.3662727	0.167	0.0795	1.7740032	-5.11733	0.16906418
	ACPL2	0.196	0.101	1.648464	-5.25735	0.1428018	0.68	0.549	0.6014809	-6.47564	0.06818323
55	ACPP	0.661	0.536	0.619869	-6.39789	0.0547123	0.323	0.194	-1.3087373	-5.81149	-0.14269151
	ACPT	0.235	0.129	-1.527863	-5.44338	-0.148675	0.42	0.277	-1.0934601	-6.06451	-0.14226605
49	ACR	0.00678	0.00139	-3.256579	-1.52896	-0.2172149	0.0128	0.00298	-3.0539998	-2.24724	-0.28742961
84519	ACRBP	0.02	0.00545	-2.820313	-2.76084	-0.1667775	0.0518	0.0176	-2.4189477	-3.838	-0.16520704
	ACRC	0.51	0.372	-0.895667	-6.19225	-0.1295272	0.718	0.594	-0.5351411	-6.51301	-0.10510559
56	ACRV1	0.699	0.583	-0.549789	-6.43829	-0.0207807	0.356	0.222	1.2311475	-5.90774	0.05856418
23205	ACSBG1	0.519	0.381	-0.879564	-6.2063	-0.0243664	0.324	0.195	1.3062069	-5.81472	0.05978778
81616	ACSBG2	0.269	0.154	-1.432686	-5.58053	-0.0640606	0.456	0.311	-1.0188807	-6.14189	-0.06221222
80221	ACSF2	0.503	0.365	0.908333	-6.18102	0.0817613	0.433	0.289	1.0662111	-6.0934	0.12048344
197322	ACSF3	0.0354	0.0112	-2.56717	-3.40279	-0.117989	0.0809	0.0312	-2.1889699	-4.33486	-0.12480849
2180	ACSL1	0.154	0.0742	-1.79813	-5.00759	-0.2208525	0.236	0.127	1.5396353	-5.49181	0.24179917
2181	ACSL3	1.58e-06	4.18e-08	5.78037	8.28327	0.5075496	0.0151	0.00368	2.9832678	-2.43957	0.30778261
2182	ACSL4	0.274	0.158	1.417574	-5.60152	0.1175017	0.273	0.154	1.4388822	-5.63739	0.12941408
51703	ACSL5	1.66e-09	8.3e-12	7.415333	16.47805	1.4002301	1.04e-05	4.5e-07	5.4478699	6.04982	1.09822774
23305	ACSL6	0.752	0.647	-0.458331	-6.48375	-0.0186522	0.632	0.494	-0.6862276	-6.42161	-0.03253313
116285	ACSM1	0.858	0.788	0.269046	-6.5517	0.0320428	0.545	0.398	-0.8495463	-6.29769	-0.12489752
123876	ACSM2A	0.00074	8.71e-05	-4.03394	1.03628	-0.2569194	0.00182	0.000264	-3.800935	-0.00525	-0.2501087
348158	ACSM2B	0.00037	3.68e-05	-4.253952	1.84269	-0.4449534	0.00219	0.00033	-3.7360428	-0.21446	-0.43801346
6296	ACSM3	0.0795	0.0315	-2.170497	-4.29679	-0.2181705	0.116	0.0495	-1.9919072	-4.72512	-0.3062029
54988	ACSM5	0.314	0.19	-1.316708	-5.73604	-0.0811659	0.133	0.0592	-1.9115251	-4.87467	-0.15394513
84532	ACSS1	0.00787	0.00167	-3.200814	-1.69506	-0.3227657	6.34e-07	1.41e-08	-6.2465302	9.38118	-0.75980849
55902	ACSS2	0.443	0.306	1.027909	-6.06738	0.0864436	0.324	0.195	-1.3055591	-5.81554	-0.11367702
79611	ACSS3	0.015	0.00376	-2.943501	-2.42886	-0.2112022	0.0643	0.0232	-2.3098263	-4.07922	-0.20306211
58	ACTA1	0.0673	0.0256	-2.254895	-4.11823	-0.2861076	0.214	0.111	-1.6088894	-5.38634	-0.28915942
59	ACTA2	0.0338	0.0105	2.58981	-3.34761	0.6978881	0.0514	0.0174	2.4234117	-3.82792	0.80313872
60	ACTB	0.00071	8.26e-05	4.047816	1.08614	0.6562573	0.000126	9.6e-06	4.6958646	3.12361	0.85533333
345651	ACTBL2	0.7	0.584	-0.548095	-6.43921	-0.1205004	0.841	0.755	0.3129631	-6.60653	0.07908696
70	ACTC1	0.114	0.0501	-1.974922	-4.68589	-0.3019905	0.164	0.0781	-1.7825247	-5.10279	-0.35307557
71	ACTG1	0.00352	0.00061	3.501577	-0.77009	0.3487664	0.0139	0.00332	3.0177452	-2.34628	0.32955901
72	ACTG2	0.783	0.686	0.404947	-6.50649	0.1624901	0.516	0.369	0.9033432	-6.2512	0.44761491
86	ACTL6A	2.52e-05	1.3e-06	5.044781	5.0066	0.30347	0.00221	0.000334	3.7327233	-0.22509	0.28767391
51412	ACTL6B	0.000183	1.52e-05	-4.472072	2.67495	-0.4670291	9.94e-05	7.05e-06	-4.7744654	3.41807	-0.62969048
10881	ACTL7A	0.952	0.927	-0.092057	-6.58326	-0.0095827	0.899	0.838	0.2054746	-6.63422	0.02701967
10880	ACTL7B	0.152	0.0725	-1.80843	-4.98964	-0.1268189	0.361	0.225	-1.2223756	-5.91826	-0.10704244
81569	ACTL8	0.921	0.879	0.152215	-6.576	0.0096971	0.98	0.966	-0.0432159	-6.65429	-0.00306108
87	ACTN1	0.414	0.278	1.089481	-6.00347	0.159451	0.0319	0.00947	2.6522122	-3.29001	0.46037267
88	ACTN2	0.00976	0.00219	-3.11763	-1.93818	-0.3519937	0.0547	0.0188	-2.3923962	-3.89759	-0.35420911
89	ACTN3	0.731	0.621	0.495274	-6.46638	0.0468569	0.233	0.125	1.5493316	-5.47731	0.18664493
81	ACTN4	0.122	0.0548	1.935918	-4.75933	0.1704721	0.00496	0.000906	3.4337653	-1.1539	0.35307246
55860	ACTR10	0.231	0.126	1.538969	-5.42682	0.1496986	0.582	0.439	0.7780191	-6.35517	0.09361077
10121	ACTR1A	0.668	0.545	-0.606455	-6.406	-0.0375445	0.893	0.828	0.2178534	-6.63162	0.0148882
10120	ACTR1B	0.541	0.403	-0.837951	-6.24142	-0.0624455	0.891	0.824	-0.2227491	-6.63055	-0.0222412
10097	ACTR2	3.91e-06	1.27e-07	5.548769	7.21992	0.4972005	0.000125	9.49e-06	4.6989927	3.13528	0.4955766
10096	ACTR3	4.14e-07	7.73e-09	6.121812	9.8999	0.510015	1.22e-07	1.88e-09	6.6952702	11.32935	0.62365114
57180	ACTR3B	0.0629	0.0234	-2.289462	-4.04327	-0.2141152	0.00539	0.00101	-3.4008294	-1.25265	-0.37947516
79913	ACTR5	0.377	0.245	1.168043	-5.91661	0.0657284	0.0152	0.0037	2.9816506	-2.44393	0.18712319
64431	ACTR6	0.391	0.256	1.139452	-5.94891	0.0957115	0.894	0.83	-0.2152928	-6.63217	-0.02339855
93973	ACTR8	0.234	0.128	1.531533	-5.43792	0.0951912	0.833	0.745	0.3267309	-6.60215	0.02572774
